Term Identifier	Term Name	Term textual definition	Spanish Translation	
Abnormality of the skeletal system			Anomalía del Sistema Esquelético	
Abnormality of the skeletal system	HP:0100440	Bullet-shaped distal phalanx of the 3rd toe	An abnormal morphology of the distal phalanx of the third toe, with a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction.	Falange distal del tercer dedo del pie en forma de bala	
Abnormality of the skeletal system	HP:0009302	Bullet-shaped distal phalanx of the 4th finger	Bullet-shaped phalanx refers to a short and wide phalanx that tapers distally . Bullet-shaped phalanges lack the normal diaphyseal constriction. This term is used if the distal phalanx of the 4th finger is affected.	Falange distal del cuarto dedo de la mano en forma de bala	
Abnormality of the skeletal system	HP:0100441	Bullet-shaped distal phalanx of the 4th toe	An abnormal morphology of the distal phalanx of the fourth toe, with a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction.	Falange distal del cuarto dedo del pie en forma de bala	
Abnormality of the skeletal system	HP:0009241	Bullet-shaped distal phalanx of the 5th finger	Bullet-shaped phalanx refers to a short and wide phalanx that tapers distally . Bullet-shaped phalanges lack the normal diaphyseal constriction. This term is used if the distal phalanx of the 5th finger is affected.	Falange distal del quinto dedo de la mano en forma de bala	
Abnormality of the skeletal system	HP:0100442	Bullet-shaped distal phalanx of the 5th toe	An abnormal morphology of the distal phalanx of the fifth toe, with a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction.	Falange distal del quinto dedo del pie en forma de bala	
Abnormality of the skeletal system	HP:0010078	Bullet-shaped distal phalanx of the hallux	An abnormal morphology of the distal phalanx of the big toe, with a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction.	Falange distal del dedo gordo del pie en forma de bala	
Abnormality of the skeletal system	HP:0009643	Bullet-shaped distal phalanx of the thumb	Bullet-shaped phalanx refers to a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction. This term is used if the distal phalanx of the thumb is affected.	Falange distal del pulgar en forma de bala	
Abnormality of the skeletal system	HP:0010187	Bullet-shaped distal toe phalanx	An abnormal morphology of one or more distal phalanges of the toes, with a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction.	Falange distal del dedo del pie en forma de bala	
Abnormality of the skeletal system	HP:0010060	Bullet-shaped hallux phalanx	An abnormal morphology of one or more phalanges of the big toe, with a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction.	Falange del dedo gordo del pie en forma de bala	
Abnormality of the skeletal system	HP:0009845	Bullet-shaped middle phalanges of the hand	Bullet-shaped phalanx refers to a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction.	Falanges medias de la mano en forma de bala	
Abnormality of the skeletal system	HP:0009570	Bullet-shaped middle phalanx of the 2nd finger	Bullet-shaped phalanx refers to a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction. This term is used if the middle phalanx of the 2nd finger is affected.	Falange media del segundo dedo de la mano en forma de bala	
Abnormality of the skeletal system	HP:0010406	Bullet-shaped middle phalanx of the 2nd toe	An abnormal morphology of the middle phalanx of the second toe, with a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction.	Falange media del segundo dedo del pie en forma de bala	
Abnormality of the skeletal system	HP:0009431	Bullet-shaped middle phalanx of the 3rd finger	Bullet-shaped phalanx refers to a short and wide phalanx that tapers distally . Bullet-shaped phalanges lack the normal diaphyseal constriction. This term is used if the middle phalanx of the 3rd finger is affected.	Falange media del tercer dedo de la mano en forma de bala	
Abnormality of the skeletal system	HP:0100434	Bullet-shaped middle phalanx of the 3rd toe	An abnormal morphology of the middle phalanx of the third toe, with a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction.	Falange media del dedo tercero del pie en forma de bala	
Abnormality of the skeletal system	HP:0009296	Bullet-shaped middle phalanx of the 4th finger	Bullet-shaped phalanx refers to a short and wide phalanx that tapers distally . Bullet-shaped phalanges lack the normal diaphyseal constriction. This term is used if the middle phalanx of the 4th finger is affected.	Falange media del cuarto dedo de la mano en forma de bala	
Abnormality of the skeletal system	HP:0100435	Bullet-shaped middle phalanx of the 4th toe	An abnormal morphology of the middle phalanx of the fourth toe, with a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction.	Falange media del cuarto dedo del pie en forma de bala	
Abnormality of the skeletal system	HP:0009168	Bullet-shaped middle phalanx of the 5th finger	Bullet-shaped phalanx refers to a short and wide phalanx that tapers distally . Bullet-shaped phalanges lack the normal diaphyseal constriction. This term is used if the middle phalanx of the 5th finger is affected.	Falange media del quinto dedo de la mano en forma de bala	
Abnormality of the skeletal system	HP:0100436	Bullet-shaped middle phalanx of the 5th toe	An abnormal morphology of the middle phalanx of the fifth toe, with a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction.	Falange media del quinto dedo del pie en forma de bala	
Abnormality of the skeletal system	HP:0010196	Bullet-shaped middle toe phalanx	An abnormal morphology of one or more middle phalanges of the toes, with a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction.	Falanges medias de los dedos del pie en forma de bala	
Abnormality of the skeletal system	HP:0009548	Bullet-shaped phalanges of the 2nd finger		Falanges del segundo dedo de la mano en forma de bala	
Abnormality of the skeletal system	HP:0009441	Bullet-shaped phalanges of the 3rd finger	Bullet-shaped phalanges refers to short and wide phalanges that taper distally . Bullet-shaped phalanges lack the normal diaphyseal constriction.	Falanges del tercer dedo de la mano en forma de bala	
Abnormality of the skeletal system	HP:0009405	Bullet-shaped phalanges of the 4th finger	Bullet-shaped phalanges refers to short and wide phalanges that taper distally . Bullet-shaped phalanges lack the normal diaphyseal constriction.	Falanges del cuarto dedo de la mano en forma de bala	
Abnormality of the skeletal system	HP:0009375	Bullet-shaped phalanges of the 5th finger	Bullet-shaped phalanges refers to short and wide phalanges that taper distally . Bullet-shaped phalanges lack the normal diaphyseal constriction.	Falanges del quinto dedo de la mano en forma de bala	
Abnormality of the skeletal system	HP:0009769	Bullet-shaped phalanges of the hand	The presence of short and wide phalanges which taper distally ("bullet shaped").	Falanges en forma de bala de la mano	
Abnormality of the skeletal system	HP:0009853	Bullet-shaped proximal phalanges of the hand		Falanges proximales de la mano en forma de bala	
Abnormality of the skeletal system	HP:0009582	Bullet-shaped proximal phalanx of the 2nd finger	Bullet-shaped phalanx refers to a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction. This term is used if the proximal phalanx of the 2nd finger is affected.	Falange proximal del segundo dedo del pie en forma de bala	
Abnormality of the skeletal system	HP:0010397	Bullet-shaped proximal phalanx of the 2nd toe	An abnormal morphology of the proximal phalanx of the 2nd toe, with a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction.	Falange proximal del segundo dedo de la mano en forma de bala	
Abnormality of the skeletal system	HP:0009451	Bullet-shaped proximal phalanx of the 3rd finger	Bullet-shaped phalanx refers to a short and wide phalanx that tapers distally . Bullet-shaped phalanges lack the normal diaphyseal constriction. This term is used if the proximal phalanx of the 3rd finger is affected.	Falange proximal del tercer dedo del pie en forma de bala	
Abnormality of the skeletal system	HP:0100437	Bullet-shaped proximal phalanx of the 3rd toe	An abnormal morphology of the proximal phalanx of the third toe, with a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction.	Falange proximal del tercer dedo de la mano en forma de bala	
Abnormality of the skeletal system	HP:0009311	Bullet-shaped proximal phalanx of the 4th finger	Bullet-shaped phalanx refers to a short and wide phalanx that tapers distally . Bullet-shaped phalanges lack the normal diaphyseal constriction. This term is used if the proximal phalanx of the 4th finger is affected.	Falange proximal del cuarto dedo del pie en forma de bala	
Abnormality of the skeletal system	HP:0100438	Bullet-shaped proximal phalanx of the 4th toe	An abnormal morphology of the proximal phalanx of the fourth toe, with a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction.	Falange proximal del cuarto dedo de la mano en forma de bala	
Abnormality of the skeletal system	HP:0009228	Bullet-shaped proximal phalanx of the 5th finger	Bullet-shaped phalanx refers to a short and wide phalanx that tapers distally . Bullet-shaped phalanges lack the normal diaphyseal constriction. This term is used if the proximal phalanx of the 5th finger is affected.	Falange proximal del quinto dedo del pie en forma de bala	
Abnormality of the skeletal system	HP:0100439	Bullet-shaped proximal phalanx of the 5th toe	An abnormal morphology of the proximal phalanx of the fifth toe, with a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction.	Falange proximal del quinto dedo de la mano en forma de bala	
Abnormality of the skeletal system	HP:0010087	Bullet-shaped proximal phalanx of the hallux	An abnormal morphology of the proximal phalanx of the big toe, with a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction.	Falange proximal del dedo gordo del pie  en forma de bala	
Abnormality of the skeletal system	HP:0009631	Bullet-shaped proximal phalanx of the thumb	Bullet-shaped phalanx refers to a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction. This term is used if the proximal phalanx of the thumb is affected.	Falange proximal del pulgar en forma de bala	
Abnormality of the skeletal system	HP:0010205	Bullet-shaped proximal toe phalanx	An abnormal morphology of one or more of the proximal phalanges of the toes, with a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction.	Falanges proximales de los dedos del pie en forma de bala	
Abnormality of the skeletal system	HP:0009652	Bullet-shaped thumb phalanx	An abnormal morphology of one or more phalanges of the thumb, with a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction.	Falange del pulgar en forma de bala	
Abnormality of the skeletal system	HP:0010175	Bullet-shaped toe phalanx	An abnormal morphology of one or more phalanges of the toes, with a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction.	Falanges de los dedos del pie en forma de bala	
Abnormality of the skeletal system	HP:0003316	Butterfly vertebrae	In the orthopedic and radiological literature, sagittally cleft vertebra is generally known as a butterfly vertebra.	Vértebras en mariposa	
Abnormality of the skeletal system	HP:0004617	Butterfly vertebral arch	Butterfly vertebrae have a cleft through the body of the vertebrae and a funnel shape at the ends.	Arcos vertebrales en mariposa	
Abnormality of the skeletal system	HP:0003320	C1-C2 subluxation	A `partial dislocation` (PATO:0002157) of the `atlantoaxial joints` (FMA:72336).	Subluxación C1-C2 	
Abnormality of the skeletal system	HP:0008440	C1-C2 vertebral abnormality	Any abnormality of the `atlas` (FMA:12519) and the `axis` (FMA:12520).	Anomalía vertebral C1-C2 	
Abnormality of the skeletal system	HP:0008456	C2-C3 subluxation	A `partial dislocation` (PATO:0002157) of the `intervertebral joint between the second and third cervical vertebrae` (FMA:25057).	Subluxación C2-C3 	
Abnormality of the skeletal system	HP:0004695	Calcaneal epiphyseal stippling	The presence of abnormal punctate (speckled, dot-like) calcifications in the epiphysis of the `calcaneus` (FMA:24496).	Punteado de la epífisis del calcáneo	
Abnormality of the skeletal system	HP:0008122	Calcaneonavicular fusion	Synostosis of the `calcaneus` (FMA:24496) with the `navicular bone` (FMA:24499).	Fusión calcaneonavicular	
Abnormality of the skeletal system	HP:0001848	Calcaneovalgus deformity	This is a postural deformity in which the foot is positioned up against the tibia. The heel (calcaneus) is positioned downward (that is, the ankle is flexed upward), and the heel is turned outward (valgus).	Deformidad en valgo del calcáneo	
Abnormality of the skeletal system	HP:0200129	Calcific mitral stenosis	Abnormal narrowing of the orifice of the mitral valve because of calcification of the mitral valve leaflets.	Estenosis mitral calcificada	
Abnormality of the skeletal system	HP:0002832	Calcific stippling	An abnormal punctate (speckled, dot-like) pattern of calcifications in soft tissues within or surrounding bones (as observed on radiographs).	Calcificación punteada	
Abnormality of the skeletal system	HP:0005841	Calcific stippling of infantile cartilaginous skeleton		Calcificación punteada del esqueleto cartilaginoso infantil	
Abnormality of the skeletal system	HP:0100593	Calcification of cartilage		Calcificación del cartílago	
Abnormality of the skeletal system	HP:0100249	Calcification of muscles	Deposition of calcium salts in muscle tissue.	Calcificación de los músculos	
Abnormality of the skeletal system	HP:0004963	Calcification of the aorta	`Calcification` (PATO:0001447), that is, pathological deposition of calcium salts in the `aorta` (FMA:3734).	Calcificación de la aorta	
Abnormality of the skeletal system	HP:0008981	Calf muscle hypertrophy	Muscle hypertrophy affecting the calf muscles.	Hipertrofia del músculo de la pantorrilla	
Abnormality of the skeletal system	HP:0008962	Calf muscle hypoplasia	Underdevelopment of the muscuklature of the calf.	Hipoplasia del músculo de la pantorrilla	
Abnormality of the skeletal system	HP:0003707	Calf muscle pseudohypertrophy	Enlargement of the muscles of the calf due to their replacement by connective tissue or fat.	Seudohipertrofia músculo de la pantorrilla	
Abnormality of the skeletal system	HP:0005450	Calvarial osteosclerosis	An increase in bone density affecting the calvaria (roof of the skull).	Osteosclerosis del cráneo	
Abnormality of the skeletal system	HP:0100595	Camptocormia	An abnormal forward-flexed posture e.g. forward flexion of the spine, which is noticeable when standing or walking but disappears when lying down. It is becoming an increasingly recognized feature of Parkinson's disease and dystonic disorders.	Camptocormia	
Abnormality of the skeletal system	HP:0012385	Camptodactyly	The distal interphalangeal joint and/or the proximal interphalangeal joint of the fingers or toes cannot be extended to 180 degrees by either active or passive extension.	Camptodactilia	
Abnormality of the skeletal system	HP:0001215	Camptodactyly of 2nd-5th fingers	The distal interphalangeal joint and/or the proximal interphalangeal joint of the second to fifth fingers cannot be extended to 180 degrees by either active or passive extension.	Camptodactilia de segundo a quinto dedos de la mano	
Abnormality of the skeletal system	HP:0100490	Camptodactyly of finger	The distal interphalangeal joint and/or the proximal interphalangeal joint of the fingers cannot be extended to 180 degrees by either active or passive extension.	Camptodactilia del dedo de la mano	
Abnormality of the skeletal system	HP:0001836	Camptodactyly of toe	Camptodactyly is a painless flexion contracture of the proximal interphalangeal (PIP) joint that is usually gradually progressive. This term refers to camptodactyly of one or more toes.	Camptodactilia del dedo del pie	
Abnormality of the skeletal system	HP:0001241	Capitate-hamate fusion		Fusión carpo-ganchoso	
Abnormality of the skeletal system	HP:0005146	Cardiac valve calcification	Abnormal calcification of a `cardiac valve` (FMA:7110).	Calcificación de la válvula cardíaca	
Abnormality of the skeletal system	HP:0011915	Cardiovascular calcification	Abnormal calcification in the `cardiovascular system` (FMA:7161).	Calcificación cardiovascular	
Abnormality of the skeletal system	HP:0004231	Carpal bone aplasia	Congenital absence of a carpal bone.	Aplasia de los huesos carpianos	
Abnormality of the skeletal system	HP:0001498	Carpal bone hypoplasia	Underdevelopment of one or more `carpal bones`  (FMA:23889).	Hipoplasia de los huesos carpianos	
Abnormality of the skeletal system	HP:0005776	Carpal bone malsegmentation		Malsegmentation de huesos carpianos	
Abnormality of the skeletal system	HP:0001495	Carpal osteolysis	Osteolysis affecting carpal bones.	Osteólisis de los huesos carpianos	
Abnormality of the skeletal system	HP:0009702	Carpal synostosis	Synostosis (bony fusion) involving one or more bones of the carpus (scaphoid, lunate, triquetrum, trapezium, trapezoid, capitate, hamate, pisiform).	Sinostosis de los huesos carpianos	
Abnormality of the skeletal system	HP:0100328	Carpometacarpal synostosis	Fusion involving carpal and metacarpal bones.	Sinostosis carpometacarpiana	
Abnormality of the skeletal system	HP:0100773	Cartilage destruction		Destrucción del cartílago	
Abnormality of the skeletal system	HP:0002825	Caudal appendage	The presence of a tail-like skin appendage located adjacent to the sacrum.	Apéndice caudal	
Abnormality of the skeletal system	HP:0008457	Caudal interpedicular narrowing	Narrowing (becoming gradually narrower) of the distance between vertebral pedicles that gets progressively more severe towards to caudal (lower) end of the vertebral column. Note that normally, the interpedicular distances get progressively wider as one proceeds down the spine.	Estrechamiento de las distancias interpediculares caudales	
Abnormality of the skeletal system	HP:0100657	Celosomia	Congenital protrusion of the abdominal or thoracic viscera, usually with a defect of the sternum and ribs as well as of the abdominal walls.	Celosomia	
Abnormality of the skeletal system	HP:0006145	Central Y-shaped metacarpal	A central Y-shaped metacarpal is the result of a partial fusion of two central metacarpals (i.e., metacarpals 2-4) of the hand, with the two arms of the Y pointing in the distal direction. Central Y-shaped metacarpals may be seen as a result of a central polydactyly with partial fusion of the duplicated metacarpal.	Metacarpiano central en forma de Y 	
Abnormality of the skeletal system	HP:0008463	Central vertebral hypoplasia		Hipoplasia central de la vertebra 	
Abnormality of the skeletal system	HP:0008462	Cervical instability		Inestabilidad cervical	
Abnormality of the skeletal system	HP:0002947	Cervical kyphosis	Exaggerated convexity of the cervical vertebral column, causing the cervical spine to bow outwards and take on a rounded appearance.	Cifosis cervical	
Abnormality of the skeletal system	HP:0004558	Cervical platyspondyly	A flattened vertebral body shape with reduced distance between the vertebral endplates affecting the cervical spine.	Platispondilia cervical	
Abnormality of the skeletal system	HP:0000891	Cervical ribs	A supernumerary rib developing from an abnormal enlargement of the costal element of the C7 vertebra.	Costillas cervicales	
Abnormality of the skeletal system	HP:0008445	Cervical spinal canal stenosis	An abnormal narrowing of the cervical spinal canal.	Estenosis cervical del canal espinal	
Abnormality of the skeletal system	HP:0003318	Cervical spine hypermobility		Hipermovilidad de la columna cervical	
Abnormality of the skeletal system	HP:0010646	Cervical spine instability	An abnormal lack of stability of the cervical spine.	Inestabilidad de la columna cervical	
Abnormality of the skeletal system	HP:0008480	Cervical spondylosis	The presence of `arthrosis` (MPATH:27), i.e., of degenerative joint disease, affecting the `cervical vertebral column` (FMA:24138).	Espondilosis cervical	
Abnormality of the skeletal system	HP:0003308	Cervical subluxation	A `partial dislocation` (PATO:0002157) of one or more intervertebral joints in the `cervical vertebral column` (FMA:24138).	Subluxación cervical	
Abnormality of the skeletal system	HP:0004635	Cervical vertebrae fusion (C5/C6)	Fusion of the C5 and C6 cervical vertebrae.	Fusión de las vértebras cervicales (C5/C6)	
Abnormality of the skeletal system	HP:0008459	Cervical vertebral agenesis	`Agenesis` (MPATH:57) of one or more vertebrae of the `cervical vertebral column` (FMA:24138).	Agenesia vertebral cervical	
Abnormality of the skeletal system	HP:0008483	Cervical vertebral bodies with decreased anteroposterior diameter		Cuerpos vertebrales cervicales con diámetro anteroposterior disminuido	
Abnormality of the skeletal system	HP:0008469	Cervical vertebral dysplasia	`Dysplasia` (MPATH:589) of the `cervical vertebral column` (FMA:24138).	Displasia cervical vertebral	
Abnormality of the skeletal system	HP:0008461	Cervical vertebral facet hypoplasia		Hipoplasia de vértebras cervicales	
Abnormality of the skeletal system	HP:0004602	Cervical vertebral fusion (C2/C3)	Fusion of cervical vertebrae at C2 and C3, caused by a failure in the normal segmentation or division of the cervical vertebrae during the early weeks of fetal development, leading to a short neck with a low hairline at the back of the head, and restricted mobility of the upper spine.	Fusión vertebral cervical (C2/C3)	
Abnormality of the skeletal system	HP:0006170	Chess-pawn distal phalanges	A morphological abnormality of distal phalanges such that they have the appearance of chess pawns.	Falanges distales en forma de peón de ajedrez	
Abnormality of the skeletal system	HP:0100749	Chest pain		Dolor de pecho	
Abnormality of the skeletal system	HP:0004000	Chevron-shaped/cone-shaped radial epiphyses		Epífisis radial en forma de cono o Chevron-like	
Abnormality of the skeletal system	HP:0003975	Chevron-shaped/cone-shaped radius		Radio en forma de cono o Chevron-like	
Abnormality of the skeletal system	HP:0009710	Chilblain lesions	Chilblains are acral ulcers.	Sabañones	
Abnormality of the skeletal system	HP:0008922	Childhood-onset short-trunk short stature	A type of `disproportionate short stature` (HP:0003498) characterized by a short trunk but a average-sized limbs with onset in childhood.	Talla baja con tronco corto de inicio infantil	
Abnormality of the skeletal system	HP:0100662	Chondritis	Inflammation of cartilage.	Condritis	
Abnormality of the skeletal system	HP:0000934	Chondrocalcinosis	Radiographic evidence of articular calcification that represent calcium pyrophosphate depositions in soft tissue surrounding joints and at the insertions of tendons near joints (Entheses/Sharpey fibers) .	Condrocalcinosis	
Abnormality of the skeletal system	HP:0006765	Chondrosarcoma	A slowly growing malignant neoplasm derived from cartilage cells.	Condrosarcoma	
Abnormality of the skeletal system	HP:0010762	Chordoma	A chordoma is a tumors that arises from embryonic remnants of the `notochord` (FMA:85521) along the length of the neuraxis. Chordomas generally occur in the sacrum, intracranially at the clivus, or along the spinal axis.	Cordoma	
Abnormality of the skeletal system	HP:0005901	Chronic recurrent multifocal osteomyelitis		Osteomielitis multifocal crónica recurrente	
Abnormality of the skeletal system	HP:0100923	Clavicular sclerosis	An increase in bone density within the clavicle.	Esclerosis clavicular	
Abnormality of the skeletal system	HP:0004616	Cleft vertebral arch	A discontinuity of the vertebral arch (FMA:11946), i.e., of the posterior part of a vertebra.	Arco vertebral hendido	
Abnormality of the skeletal system	HP:0004209	Clinodactyly of the 5th finger	Clinodactyly refers to a bending or curvature of the `fifth finger` (FMA:24949) in the radial direction (i.e., towards the 4th finger).	Clinodactilia del quinto dedo de la mano	
Abnormality of the skeletal system	HP:0006384	Club-shaped distal femur		Fémur distal en forma de palo de golf	
Abnormality of the skeletal system	HP:0006406	Club-shaped proximal femur		Fémur proximal en forma de palo de golf	
Abnormality of the skeletal system	HP:0001217	Clubbing	Broadening of the soft tissues (non-edematous swelling of soft tissues) of the digital tips in all dimensions associated with an increased longitudinal and lateral curvature of the nails.	Dedos hipocráticos	
Abnormality of the skeletal system	HP:0100759	Clubbing of fingers	Terminal broadening of the fingers (distal phalanges of the fingers).	Dedos de la mano hipocráticos	
Abnormality of the skeletal system	HP:0100760	Clubbing of toes	Terminal broadening of the toes (distal phalanges of the toes).	Dedos del pie hipocráticos	
Abnormality of the skeletal system	HP:0005802	Coalescence of tarsal bones		Coalescencia de los huesos del tarso	
Abnormality of the skeletal system	HP:0003866	Coarse trabeculae (humeral)		Trabéculas gruesas del húmero	
Abnormality of the skeletal system	HP:0006665	Coat hanger sign of ribs	An abnormal morphology of the ribs consisting of shorted, abnormally curved ribs. On posteroanterior chest radiography, the ribs show a curvature resembling that of a coat hanger (clothes hanger).	Costillas en forma de percha	
Abnormality of the skeletal system	HP:0004235	Comma-shaped carpal bones		Huesos del carpo en forma de comas	
Abnormality of the skeletal system	HP:0004245	Comma-shaped scaphoid		Escafoides en forma de comas	
Abnormality of the skeletal system	HP:0100884	Compensatory scoliosis	A scoliosis which is the results of a difference in leg length (which might be due to hemihypertrophy or hemihypotrophy of a leg) and the resulting tilting of the pelvis. If untreated this will lead to the development of scoliosis over time.	Escoliosis compensatoria	
Abnormality of the skeletal system	HP:0009606	Complete duplication of distal phalanx of the thumb	Complete duplication of the distal phalanx of the thumb. On x-ray two separate bones appear side to side.	Duplicación completa de la falange distal del pulgar	
Abnormality of the skeletal system	HP:0010100	Complete duplication of hallux phalanx	Complete duplication of one or more `phalanx of big toe` (FMA:32884).	Duplicación completa de la falange del dedo gordo del pie	
Abnormality of the skeletal system	HP:0009998	Complete duplication of phalanx of hand	A complete duplication affecting one or more of the phalanges of the hand. As opposed to a partial duplication were there is still a variable degree of fusion between the duplicated bones, a complete duplication leads to two separate bones appearing side to side (radio-ulnar axis) as seen on x-rays. A duplication leading to an accesory bone appearing in the proximo-distal axis on x-rays, is a different entity called a Pseudoepiphyses (see according terms) sometimes also refered to as Hyperphalangism.	Duplicación completa de las falanges de la mano	
Abnormality of the skeletal system	HP:0009608	Complete duplication of proximal phalanx of the thumb	Complete duplication of the proximal phalanx of the thumb. On x-ray two separate bones appear side to side. In contrast to the proximal phalanges of the digits 2-5, the proximal phalanx of the thumb is embryologically equivalent to the middle phalanges of the other digits, whereas the first metacarpal is embryologically of phalangeal origin and as such equivalent to the proximal phalanges of the other digits.	Duplicación completa de la falange proximal del pulgar	
Abnormality of the skeletal system	HP:0010098	Complete duplication of the 1st metatarsal	A developmental defect consisting in the complete duplication of the first metatarsal bone.	Duplicación completa del primer metatarsiano	
Abnormality of the skeletal system	HP:0010001	Complete duplication of the distal phalanges of the hand	A complete duplication affecting one or more of the distal phalanges of the hand.	Duplicación completa de las falanges distales de la mano	
Abnormality of the skeletal system	HP:0009950	Complete duplication of the distal phalanx of the 2nd finger	Complete duplication of the `distal phalanx of index finger` (FMA:23946).	Duplicación completa de la falange distal del segundo dedo de la mano	
Abnormality of the skeletal system	HP:0010424	Complete duplication of the distal phalanx of the 2nd toe	Complete duplication of the `distal phalanx of second toe` (FMA:32628).	Duplicación completa de la falange distal del segundo dedo del pie	
Abnormality of the skeletal system	HP:0009965	Complete duplication of the distal phalanx of the 3rd finger	Complete duplication of the `distal phalanx of middle finger` (FMA:23947).	Duplicación completa de la falange distal del tercer dedo de la mano	
Abnormality of the skeletal system	HP:0100407	Complete duplication of the distal phalanx of the 3rd toe	Complete duplication of  `distal phalanx of third toe` (FMA:32629).	Duplicación completa de la falange distal del tercer dedo del pie	
Abnormality of the skeletal system	HP:0009978	Complete duplication of the distal phalanx of the 4th finger	Complete duplication of the `distal phalanx of ring finger` (FMA:23948).	Duplicación completa de la falange distal del cuarto dedo de la mano	
Abnormality of the skeletal system	HP:0100408	Complete duplication of the distal phalanx of the 4th toe	Complete duplication of the `distal phalanx of fourth toe` (FMA:32630).	Duplicación completa de la falange distal del cuarto dedo del pie	
Abnormality of the skeletal system	HP:0009991	Complete duplication of the distal phalanx of the 5th finger	Complete duplication of the `distal phalanx of little finger` (FMA:23949).	Duplicación completa de la falange distal del quinto dedo de la mano	
Abnormality of the skeletal system	HP:0100409	Complete duplication of the distal phalanx of the 5th toe	Complete duplication of the `distal phalanx of little toe` (FMA:32631).	Duplicación completa de la falange distal del quinto dedo del pie	
Abnormality of the skeletal system	HP:0010096	Complete duplication of the distal phalanx of the hallux		Duplicación completa de la falange distal del dedo gordo del pie	
Abnormality of the skeletal system	HP:0009615	Complete duplication of the first metacarpal	Complete duplication of the `first metacarpal bone` (FMA:23899).	Duplicación completa del primer metacarpiano	
Abnormality of the skeletal system	HP:0010002	Complete duplication of the middle phalanges of the hand	A complete duplication affecting one or more of the middle phalanges of the hand. As opposed to a partial duplication were there is still a variable degree of fusion between the duplicated bones, a complete duplication leads to two separate bones appearing side to side (radio-ulnar axis) as seen on x-rays. A duplication leading to an accessory bone appearing in the proximo-distal axis on x-rays, this is actually a different entity called a pseudoepiphysis (see corresponding terms) sometimes also referred to as hyperphalangism.	Duplicación completa de las falanges medias de la mano	
Abnormality of the skeletal system	HP:0009952	Complete duplication of the middle phalanx of the 2nd finger	Complete duplication of the `middle phalanx of index finger` (FMA:23933).	Duplicación completa de la falange media del segundo dedo de la mano	
Abnormality of the skeletal system	HP:0010426	Complete duplication of the middle phalanx of the 2nd toe	Complete duplication of `middle phalanx of second toe` (FMA:32623).	Duplicación completa de la falange media del segundo dedo del pie	
Abnormality of the skeletal system	HP:0009966	Complete duplication of the middle phalanx of the 3rd finger	Complete duplication of the `middle phalanx of middle finger` (FMA:23934).	Duplicación completa de la falange media del tercer dedo de la mano	
Abnormality of the skeletal system	HP:0100410	Complete duplication of the middle phalanx of the 3rd toe	Complete duplication of `middle phalanx of third toe` (FMA:32624).	Duplicación completa de la falange media del tercer dedo del pie	
Abnormality of the skeletal system	HP:0009979	Complete duplication of the middle phalanx of the 4th finger	Complete duplication of the `middle phalanx of ring finger` (FMA:23935).	Duplicación completa de la falange media del cuarto dedo de la mano	
Abnormality of the skeletal system	HP:0100411	Complete duplication of the middle phalanx of the 4th toe	Complete duplication of `middle phalanx of fourth toe` (FMA:32625).	Duplicación completa de la falange media del cuarto dedo del pie	
Abnormality of the skeletal system	HP:0009992	Complete duplication of the middle phalanx of the 5th finger	Complete duplication of the `fifth middle phalanx of hand` (FMA:23936).	Duplicación completa de la falange media del quinto dedo de la mano	
Abnormality of the skeletal system	HP:0100412	Complete duplication of the middle phalanx of the 5th toe	Complete duplication of the middle phalanx of the 5th toe.	Duplicación completa de la falange media del quinto dedo del pie	
