HPO ID	English term	Italian term
HP:0004232	Accessory carpal bones	ossa carpali accessorio
HP:0004233	Advanced ossification of carpal bones	avanzata ossificazione delle ossa del carpo
HP:0004234	Bone-in-a-bone appearance of carpal bones	aspetto 'osso-in-osso' delle ossa carpali
HP:0004235	Comma-shaped carpal bones	ossa carpali a forma di virgola
HP:0004236	Irregular carpal bones	ossa carpali irregolari
HP:0004237	Large carpal bones	grandi ossa carpali
HP:0004238	Lytic defects of carpal bones	difetti litici delle ossa carpali
HP:0004239	Proximally placed carpal bones	ossa carpali posizionate prossimalmente
HP:0004240	Sclerotic foci within carpal bones	foci sclerotici all'interno ossa carpali
HP:0004241	Stippled calcification in carpal bones	calcificazione punteggiata nelle ossa carpali
HP:0004242	Broad carpal bones	ampie ossa carpali
HP:0004243	Abnormality of the scaphoid	anomalia dello scafoide
HP:0004244	Accessory scaphoid	scafoide accessorio
HP:0004245	Comma-shaped scaphoid	scafoide a forma di virgola
HP:0004246	Delayed ossification of the scaphoid	ritardo di ossificazione dello scafoide
HP:0004247	Small scaphoid	scafoide piccolo
HP:0004248	Abnormality of the lunate bone	anomalia dell'osso lunato
HP:0004249	Accessory lunate	lunato accessorio
HP:0004250	Proximally placed lunate	semilunare posizionato prossimalmente
HP:0004251	Lunate-triquetral fusion	fusione lunato-triquetrale
HP:0004252	Abnormality of the trapezium	anomalia del trapezio
HP:0004253	Absent trapezium/absent ossification of the trapezium	trapezio assente / assente ossificazione del trapezio
HP:0004254	Delayed ossification of the trapezium	ritardata ossificazione del trapezio
HP:0004255	Small trapezium	trapezio piccolo
HP:0004256	Abnormality of the trapezoid bone	anomalia dell'osso trapezio
HP:0004257	Delayed ossification of the trapezoid bone	ritardata ossificazione dell'osso trapezio
HP:0004258	Small trapezoid bone	osso trapezoide piccolo
HP:0004259	Abnormality of the hamate bone	anomalia dell'osso amato
HP:0004260	Large hamate bone	osso amato grande
HP:0004261	Wide hamate bone	osso amato ampio
HP:0004262	Abnormality of the capitate bone	anomalia dell'osso capitato
HP:0004263	Large capitate bone	grande osso capitato
HP:0004264	Narrow carpal joint spaces	articolazioni strette del carpo
HP:0004267	Narrow small joints of the hand	articolazioni piccole della mano strette
HP:0004268	Osteoarthritis of the small joints of the hand	artrosi delle piccole articolazioni della mano
HP:0004269	Subluxation of the small joints of the hand	sublussazione delle piccole articolazioni della mano
HP:0004271	Cortical thickening of hand bones	ispessimento corticale delle ossa della mano
HP:0004272	Cortical thinning of hand bones	assottigliamento corticale delle ossa della mano
HP:0004273	Cupped metaphyses of hand bones	metafisi delle ossa della mano a coppa
HP:0004274	Deficient ossification of hand bones	deficiente ossificazione delle ossa della mano
HP:0004275	Duplication of hand bones	duplicazione delle ossa della mano
HP:0004276	Exostoses of hand bones	esostosi delle ossa della mano
HP:0004277	Fractured hand bones	ossa fratturate della mano
HP:0004278	Synostosis involving bones of the hand	sinostosi che coinvolge le ossa della mano
HP:0004279	Short palm	palmo breve
HP:0004280	Irregular ossification of hand bones	ossificazione irregolare delle ossa della mano
HP:0004281	Irregular sclerosis of hand bones	sclerosi irregolare delle ossa della mano
HP:0004283	Narrow palm	palmo stretto
HP:0004284	Notched hand bones	ossa della mano incise
HP:0004285	Overmodelled hand bones	ossa della mano over-modellate
HP:0004286	Patchy sclerosis of hand bones	sclerosi irregolare delle ossa della mano
HP:0004287	Pointed hand bones	ossa mano a punta
HP:0004288	Pseudoepiphyses of hand bones	pseudoepifisi delle ossa della mano
HP:0004289	Sclerotic foci in hand bones	foci sclerotici nelle ossa della mano
HP:0004290	Sclerosis of hand bones with transverse striations	sclerosi della mano ossa con striature trasversali
HP:0004291	Stippled calcification of hand bones	calcificazione puntinata delle ossa della mano
HP:0004292	Undermodelled hand bones	ossa della mano sotto-modellate
HP:0004293	Synostosis of second metacarpal-trapezoid	sinostosi del secondo metacarpale-trapezio
HP:0004294	Subluxation of metacarpal phalangeal joints	sublussazione delle articolazioni delle falangi metacarpali
HP:0004295	Abnormality of the gastric mucosa	anomalia della mucosa gastrica
HP:0004296	Abnormality of gastrointestinal vasculature	anomalia della vascolatura gastrointestinale
HP:0004297	Abnormality of the biliary system	anomalia del sistema biliare
HP:0004298	Abnormality of the abdominal wall	anomalia della parete addominale
HP:0004299	Hernia of the abdominal wall	ernia della parete addominale
HP:0004302	Functional motor problems.	problemi funzionali motori
HP:0004303	Abnormality of muscle fibers	anomalia delle fibre muscolari
HP:0004305	Involuntary movements	movimenti involontari
HP:0004306	Abnormality of the endocardium	anomalia dell'endocardio
HP:0004307	Abnormal anatomic location of the heart	anomala posizione anatomica del cuore
HP:0004308	Ventricular arrhythmia	aritmia ventricolare
HP:0004309	Ventricular preexcitation	preeccitazione ventricolare
HP:0004311	Abnormality of macrophages	anomalia dei macrofagi
HP:0004312	Abnormality of reticulocytes	anomalia dei reticolociti
HP:0004313	Hypogammaglobulinemia	ipogammaglobulinemia
HP:0004315	IgG deficiency	deficit di IgG
HP:0004319	Hypoaldosteronism	ipoaldosteronismo
HP:0004320	Vaginal fistula	fistola vaginale
HP:0004321	Bladder fistula	fistola vescicale
HP:0004322	Short stature	bassa statura
HP:0004323	Abnormality of body weight	anomalia del peso corporeo
HP:0004324	Increased body weight	aumento di peso corporeo
HP:0004325	Decreased body weight	diminuzione di peso corporeo
HP:0004326	Cachexia	cachessia
HP:0004327	Abnormality of the vitreous humor	anomalia dell'umor vitreo
HP:0004328	Abnormality of the anterior segment of the eye	anomalia del segmento anteriore dell'occhio
HP:0004329	Abnormality of the posterior segment of the eye	anomalia del segmento posteriore dell'occhio
HP:0004330	Increased skull ossification	aumentata ossificazione del cranio
HP:0004331	Decreased skull ossification	diminuita ossificazione del cranio
HP:0004332	Abnormality of lymphocytes	anomalia dei linfociti
HP:0004333	Bone-marrow foam cells	cellule a schiuma nel midollo osseo
HP:0004334	Dermal atrophy	atrofia cutanea
HP:0004336	Myelin outfoldings	outfolding della mielina
HP:0004337	Abnormality of amino acid metabolism	anomalia del metabolismo degli aminoacidi
HP:0004338	Abnormality of aromatic amino acid family metabolism	anomalia del metabolismo della famiglia degli aminoacidi aromatici
HP:0004339	Abnormality of sulfur amino acid metabolism	anomalia del metabolismo degli aminoacidi solforati
HP:0004340	Abnormality of vitamin B metabolism	anomalia del metabolismo della vitamina B
HP:0004341	Abnormality of the vitamin B12 metabolism	anomalia del metabolismo vitamina B12
HP:0004342	Abnormality of galactoside metabolism	anomalia del metabolismo del galattoside
HP:0004343	Abnormality of glycosphingolipid metabolism	anomalia del metabolismo del glicosfingolipidi
HP:0004344	Abnormality of cerebrosidase metabolism	anomalia del metabolismo della cerebrosidasi
HP:0004345	Abnormality of ganglioside metabolism	anomalia del metabolismo del ganglioside
HP:0004347	Weakness of muscles of respiration	debolezza dei muscoli della respirazione
HP:0004348	Abnormality of bone mineral density	anomalia della densità minerale ossea
HP:0004349	Reduced bone mineral density	densità minerale ossea ridotta
HP:0004352	Abnormality of purine metabolism	anomalia del metabolismo della purina
HP:0004353	Abnormality of pyrimidine metabolism	anomalia del metabolismo della pirimidina
HP:0004354	Abnormality of carboxylic acid metabolism	anomalia del metabolismo dell'acido carbossilico
HP:0004355	Abnormality of proteoglycan metabolism	anomalia del metabolismo dei proteoglicani
HP:0004356	Abnormality of lysosomal metabolism	anomalia del metabolismo lisosomiale
HP:0004357	Abnormality of leucine metabolism	anomalia del metabolismo della leucina
HP:0004358	Abnormality of superoxide metabolism	anomalia del metabolismo del superossido
HP:0004359	Abnormality of fatty-acid metabolism	anomalia del metabolismo degli acidi grassi
HP:0004360	Abnormality of acid-base homeostasis	anomalia dell'omeostasi acido-base
HP:0004361	Abnormality of circulating leptin level	anomalia del livello di leptina in circolazione
HP:0004362	Abnormality of the enteric ganglia	anomalia dei gangli enterici
HP:0004363	Abnormality of calcium homeostasis	anomalia dell'omeostasi del calcio
HP:0004364	Abnormality of nitrogen compound homeostasis	anomalia dell'omeostasi dei composti azotati
HP:0004365	Abnormality of tryptophan metabolism	anomalia del metabolismo del triptofano
HP:0004366	Abnormality of glycolysis	anomalia della glicolisi
HP:0004367	Abnormality of glycoprotein metabolism	anomalia del metabolismo delle glicoproteine
HP:0004368	Increased purine levels	aumentati livelli di purine
HP:0004369	Decreased purine levels	diminuiti livelli di purine
HP:0004370	Abnormality of temperature regulation	anomalia della regolazione della temperatura
HP:0004371	Abnormality of glycosaminoglycan metabolism	anomalia del metabolismo di glicosaminoglicani
HP:0004372	Reduced consciousness/confusion	ridotta coscienza/confusione
HP:0004373	Focal dystonia	distonia focale
HP:0004374	Hemiplegia/hemiparesis	emiplegia/emiparesi
HP:0004375	Neoplasm of the nervous system	neoplasia del sistema nervoso
HP:0004376	Neuroblastic tumors	tumori neuroblastici
HP:0004377	Hematological neoplasm	neoplasma ematologico
HP:0004378	Abnormality of the anus	anomalia dell'ano
HP:0004379	Abnormality of alkaline phosphatase activity	anomalia dell'attività della fosfatasi alcalina
HP:0004380	Aortic valve calcification	calcificazione della valvola aortica
HP:0004381	Supravalvular aortic stenosis	stenosi sopravalvolare dell'aorta
HP:0004382	Mitral valve calcification	calcificazione della valvola mitrale
HP:0004383	Hypoplastic left heart	cuore sinistro ipoplastico
HP:0004384	Type I truncus arteriosus	tipo I tronco arterioso
HP:0004385	Protracted diarrhea	diarrea protratta
HP:0004386	Gastrointestinal inflammation	infiammazione gastrointestinale
HP:0004387	Enterocolitis	enterocolite
HP:0004388	Microcolon	microcolon
HP:0004389	Intestinal pseudo-obstruction	pseudo-ostruzione intestinale
HP:0004390	Hamartomatous polyps	polipi amartomatosi
HP:0004392	Prune belly	pancia prona
HP:0004394	Multiple gastric polyps	polipi gastrici multipli
HP:0004395	Malnutrition	malnutrizione
HP:0004396	Poor appetite	scarso appetito
HP:0004397	Ectopic anus	ano ectopico
HP:0004398	Peptic ulcer	ulcera peptica
HP:0004399	Congenital pyloric atresia	atresia pilorica congenita
HP:0004400	Abnormality of the pylorus	anomalia del piloro
HP:0004401	Meconium ileus	ileo da meconio
HP:0004403	Proximal esophageal atresia	atresia esofagea prossimale
HP:0004404	Abnormality of the nipple	anomalia del capezzolo
HP:0004405	Prominent nipples	capezzoli prominenti
HP:0004406	Spontaneous, recurrent epistaxis	epistassi ricorrenti e spontanee
HP:0004407	Bony paranasal bossing	bozze ossee paranasali
HP:0004408	Abnormality of the sense of smell	anomalia del senso dell'olfatto
HP:0004409	Hyposmia	iposmia
HP:0004411	Deviated nasal septum	setto nasale deviato
HP:0004414	Abnormality of the pulmonary artery	anomalia dell'arteria polmonare
HP:0004415	Pulmonary artery stenosis	stenosi dell'arteria polmonare
HP:0004416	Precocious atherosclerosis	aterosclerosi precoce
HP:0004417	Intermittent claudication	claudicatio intermittens
HP:0004418	Thrombophlebitis	tromboflebite
HP:0004419	Recurrent thrombophlebitis	tromboflebite ricorrente
HP:0004420	Arterial thrombosis	trombosi arteriosa
HP:0004421	Elevated systolic blood pressure	elevata pressione arteriosa sistolica
HP:0004422	Biparietal narrowing	restringimento biparietale
HP:0004423	Cranium bifidum occultum	cranio bifido occulto
HP:0004424	Micturition difficulties	difficoltà nella minzione
HP:0004425	Flat forehead	fronte piatta
HP:0004426	Abnormality of the cheeks	anomalia delle guance
HP:0004428	Elfin facies	facies elfica
HP:0004429	Recurrent viral infections	infezioni virali ricorrenti
HP:0004430	Severe combined immunodeficiency	immunodeficienza combinata grave
HP:0004431	Complement deficiency	deficit di complemento
HP:0004432	Agammaglobulinemia	agammaglobulinemia
HP:0004433	Secretory IgA deficiency	deficit di IgA secretorie
HP:0004434	C8 deficiency	deficit di C8
HP:0004437	Cranial hyperostosis	iperostosi cranica
HP:0004438	Hyperostosis frontalis interna	iperostosi frontale interna
HP:0004439	Craniofacial dysostosis	disostosi craniofacciale
HP:0004440	Coronal craniosynostosis	craniosinostosi coronale
HP:0004442	Sagittal craniosynostosis	craniostenosi sagittale
HP:0004443	Lambdoidal craniosynostosis	craniosinostosi lambdoidale
HP:0004444	Spherocytosis	sferocitosi
HP:0004445	Elliptocytosis	ellissocitosi
HP:0004446	Stomatocytosis	stomatocitosi
HP:0004447	Poikilocytosis	poichilocitosi
HP:0004448	Fulminant hepatic failure	guasto epatico fulminante
HP:0004450	Preauricular skin furrow	solco preauricolare della pelle
HP:0004451	Postauricular skin tag	modifica della pelle postauricolare
HP:0004452	Abnormality of the middle ear ossicles	anomalia degli ossicini dell'orecchio medio
HP:0004453	Overfolding of the superior helices	overfolding delle eliche superiori
HP:0004454	Abnormal middle ear reflexes	riflessi anormali dell'orecchio medio
HP:0004458	Dilatated internal auditory canal	canale uditivo interno dilatato
HP:0004459	Exostosis of the external auditory canal	esostosi del canale uditivo esterno
HP:0004461	Congenital earlobe sinuses	seni congeniti del lobo dell'orecchio
HP:0004463	Absent brainstem auditory responses	risposte uditive assenti del tronco cerebrale
HP:0004464	Posterior auricular pit	fossa auricolare posteriore
HP:0004466	Prolonged brainstem auditory evoked potentials	prolungato i potenziali evocati uditivi del tronco cerebrale
HP:0004467	Preauricular pit	fossa preauricolare
HP:0004468	Anomalous tracheal cartilage	cartilagine tracheale anomala
HP:0004469	Chronic bronchitis	bronchite cronica
HP:0004470	Atretic occipital cephalocele	cefalocele atretico occipitale
HP:0004471	Aplasia cutis congenita over the scalp vertex	aplasia congenita della cute  del cuoio capelluto
HP:0004472	Mandibular hyperostosis	iperostosi mandibolare
HP:0004474	Persistent open anterior fontanelle	fontanella anteriore persistentemente aperta
HP:0004476	Aplasia cutis congenita over parietal area	aplasia congenita della cute sulla zona parietale
HP:0004478	Ethmoidal encephalocele	encefalocele etmoidale
HP:0004481	Progressive macrocephaly	macrocefalia progressiva
HP:0004482	Relative macrocephaly	macrocefalia relativa
HP:0004484	Craniofacial asymmetry	asimmetria craniofacciale
HP:0004485	Cessation of head growth	cessazione della crescita della testa
HP:0004487	Acrobrachycephaly	acrobrachicefalia
HP:0004488	Macrocephaly at birth	macrocefalia alla nascita
HP:0004490	Calvarial hyperostosis	iperostosi calvariale
HP:0004491	Large posterior fontanelle	grande fontanella posteriore
HP:0004492	Widely patent fontanelles and sutures	fontanelle e suture largamente doloranti
HP:0004493	Craniofacial hyperostosis	iperostosi cranio-faciale
HP:0004495	Thin anteverted nares	narici sottili invertiti
HP:0004496	Posterior choanal atresia	atresia coanale posteriore
HP:0004499	Chronic rhinitis due to narrow nasal airway	rinite cronica a causa delle vie aeree nasali strette
HP:0004502	Bilateral choanal atresia	atresia bilaterale coanale
HP:0004510	Pancreatic islet-cell hypertrophy	ipertrofia delle cellule dell'isolotto pancreatico
HP:0004523	Long eyebrows	sopracciglia lunghe
HP:0004524	Temporal hypotrichosis	ipotricosi temporale
HP:0004527	large clumps of pigment irregularly distributed along hair shaft	grandi ciuffi di pigmento irregolarmente distribuiti lungo il fusto del capello
HP:0004528	Generalized hypotrichosis	ipotricosi generalizzata
HP:0004529	Atrophic, patchy alopecia	alopecia atrofica irregolare
HP:0004532	Sacral hypertrichosis	ipertricosi sacrale
HP:0004535	Anterior cervical hypertrichosis	ipertricosi cervicale anteriore
HP:0004540	Congenital, generalized hypertrichosis	ipertricosi congenita generalizzata
HP:0004544	Pointed frontal hairline	attaccatura dei capelli frontale appuntita
HP:0004552	Scarring alopecia of scalp	cicatrici di alopecia del cuoio capelluto
HP:0004554	Generalized hypertrichosis	ipertricosi generalizzata
HP:0004557	Anterior vertebral fusion	fusione vertebrale anteriore
HP:0004558	Cervical platyspondyly	platispondilia cervicale
HP:0004562	Beaking of vertebral bodies T12-L3	beaking' dei corpi vertebrali T12-L3
HP:0004563	increased spinal bone density	aumentata densità ossea spinale
HP:0004565	Severe platyspondyly	grave platispondilia
HP:0004566	Pear-shaped vertebrae	vertebre a forma di pera
HP:0004568	Beaking of vertebral bodies	beaking' dei corpi vertebrali
HP:0004570	Increased vertebral height	aumentata altezza vertebrale
HP:0004571	Widening of cervical spinal canal	allargamento del canale spinale cervicale
HP:0004573	Anterior wedging of  T11	incuneamento anteriore del T11
HP:0004575	fusion of midcervical facet joints	fusione delle faccette articolari mediali cervicali
HP:0004576	Sclerotic vertebral endplates	piastre laterali vertebrali sclerotiche
HP:0004580	Anterior scalloping of vertebral bodies	smerlatura anteriore dei corpi vertebrali
HP:0004581	Increased anterior vertebral height	aumentata altezza vertebrale anteriore
HP:0004582	Irregularity of vertebral bodies	irregolarità dei corpi vertebrali
HP:0004586	Biconcave vertebral bodies	corpi vertebrali biconcavi
HP:0004589	Dysplasia of second lumbar vertebra	displasia della seconda vertebra lombare
HP:0004590	Hypoplastic sacrum	sacrum ipoplastico
HP:0004591	Disc-like vertebral bodies	corpi vertebrali come dischi
HP:0004592	Thoracic platyspondyly	platispondilia toracica
HP:0004594	hump-shaped mound of bone in central and posterior portions of vertebral endplate	tumulo a forma di gobba di osso in porzioni centrale e posteriore delle piastre vertebrali
HP:0004598	Supernumerary vertebral ossification centers	centri di ossificazione vertebrale soprannumerari
HP:0004599	Absent or minimally ossified vertebral bodies	corpi vertebrali assenti o minimamente ossificati
HP:0004601	Spina bifida occulta at L5	spina bifida occulta a L5
HP:0004602	Cervical vertebral fusion (C2/C3)	fusione vertebrale cervicale (C2/C3)
HP:0004603	Hyperconvex vertebral body endplates	piastre laterali del corpo vertebrale iperconvesse
HP:0004605	Absent vertebral body mineralization	assente mineralizzazione del corpo vertebrale
HP:0004606	Unossified vertebral bodies	corpi vertebrali non ossificati
HP:0004607	Anterior beaking of lower thoracic vertebrae	beaking' anteriore delle vertebre toraciche più basse
HP:0004608	Anteriorly placed odontoid process	processo odontoide collocato anteriormente
HP:0004609	Patchy distortion of vertebrae	distorsione irregolare delle vertebre
HP:0004610	Lumbar spinal canal stenosis	stenosi del canale spinale lombare
HP:0004611	Anterior concavity of thoracic vertebrae	concavità anteriore delle vertebre toraciche
HP:0004612	cervical spine segmentation defects	difetti di segmentazione del rachide cervicale
HP:0004614	spina bifida occulta at S1	spina bifida occulta a S1
HP:0004616	Cleft vertebral arches	schisi degl archi vertebrali
HP:0004617	Butterfly vertebral arch	arco vertebrale a farfalla
HP:0004618	Sandwich appearance of vertebral bodies	aspetto a sandwich dei corpi vertebrali
HP:0004619	Lumbar kyphoscoliosis	cifoscoliosi lombare
HP:0004621	Enlarged vetebral pedicles	peduncoli vertebrali allargati
HP:0004622	Progressive intervertebral space narrowing	progressivo restringimento dello spazio intervertebrale
HP:0004625	Biconvex vertebral bodies	corpi vertebrali biconvessi
HP:0004626	Lumbar scoliosis	scoliosi lombare
HP:0004629	Small cervical vertebral bodies	piccoli corpi vertebrali cervicali
HP:0004630	Anterior beaking of thoracic vertebrae	beaking' anteriore delle vertebre toraciche
HP:0004631	Decreased cervical spine flexion due to contractures of posterior cervical muscles	diminuzione della flessione del rachide cervicale a causa di contratture dei muscoli cervicali posteriori
HP:0004632	cervical segmentation defects	difetti di segmentazione cervicale
HP:0004633	Lower thoracic kyphosis	cifosi toracica inferiore
HP:0004634	Cuboid-shaped vertebral bodies	corpi vertebrali a forma cuboide
HP:0004635	Cervical vertebrae fusion (C5/C6)	fusione di vertebre cervicali (C5/C6)
HP:0004637	Decreased cervical spine mobility	ridotta mobilità del rachide cervicale
HP:0004639	Elevated amniotic fluid alpha-fetoprotein	elevata alfa-fetoproteina nel fluido amniotico
HP:0004646	Hypoplasia of the nasal bone	ipoplasia dell'osso nasale
HP:0004660	hypoplasia of facial musculature	ipoplasia della muscolatura facciale
HP:0004661	Frontalis muscle weakness	debolezza del muscolo Frontalis
HP:0004664	Facial midline hemangioma	emangioma della linea mediana facciale
HP:0004673	Decreased facial expression	diminuita espressione facciale
HP:0004676	prominent supraorbital arches in adult	arcate sopraorbitali prominenti nell'adulto
HP:0004679	Large tarsal bones	grandi ossa tarsali
HP:0004681	Deep longitudinal plantar crease	profonda piega plantare longitudinale
HP:0004684	Talipes valgus	valgo talipes
HP:0004686	Short third metatarsal	breve terzo metatarso
HP:0004688	Irregular tarsal bones	ossa tarsali irregolari
HP:0004689	Short fourth metatarsal	quarto metatarso breve
HP:0004690	Thickened Achilles tendon	ispessimento del tendine d'Achille
HP:0004691	2-3 toe syndactyly	sindattilia secondo-terzo dito
HP:0004692	4-5 toe syndactyly	sindattilia quarto-quinto dito
HP:0004695	Calcaneal epiphyseal stippling	punteggiatura epifisaria del calcagno
HP:0004696	Talipes cavus equinovarus	talipes equinovarus cavus
HP:0004699	Osteoporotic metatarsal	osso osteoporotico metatarsale
HP:0004704	Short fifth metatarsal	breve quinto metatarso
HP:0004712	Renal malrotation	malrotazione renale
HP:0004713	Reversible renal failure	insufficienza renale reversibile
HP:0004716	Enlarged polycystic kidneys	reni policistici allargati
HP:0004717	Axial malrotation of the kidney	malrotazione assiale del rene
HP:0004719	Hyperechogenic kidneys	reni iperecogeni
HP:0004720	Childhood-onset end-stage renal disease	malattia renale allo stadio finale di esordio infantile
HP:0004722	Thickening of the glomerular basement membrane	ispessimento della membrana basale glomerulare
HP:0004724	Calcium nephrolithiasis	nefrolitiasi calcica
HP:0004727	Impaired renal concentrating ability	ridotta capacità di concentrazione renale
HP:0004728	Diffuse mesangial sclerosis glomerulopathy	diffusa glomerulopatia della sclerosi mesangiale
HP:0004729	Acute tubulointerstitial nephritis	nefrite tubulointerstiziale acuta
HP:0004732	Impaired renal uric acid clearance	alterata clearance renale di acido urico
HP:0004734	Renal cortical microcysts	microcisti corticale renale
HP:0004735	Structural anomalies of the renal tract	anomalie strutturali del tratto renale
HP:0004736	Crossed fused renal ectopia	ectopia renale fusa incrociata
HP:0004737	global glomerulosclerosis	glomerulosclerosi globale
HP:0004738	Adult-onset end stage renal disease	insufficienza renale allo stadio finale ad esordio adulto
HP:0004742	Abnormality of the renal collecting system	anomalia del sistema di raccolta renale
HP:0004743	Chronic tubulointerstitial nephritis	nefrite tubulointerstiziale cronica
HP:0004746	Membranoproliferative glomerulonephritis type II	glomerulonefrite membranoproliferativa, tipo II
HP:0004747	focal glomerulosclerosis	glomerulosclerosi focale
HP:0004748	juvenile nephronophthisis	nefronoftisi giovanile
HP:0004749	Atrial flutter	flutter atriale
HP:0004751	Paroxysmal ventricular tachycardia	tachicardia ventricolare parossistica
HP:0004752	Congenital atrioventricular dissociation	dissociazione atrioventricolare congenito
HP:0004754	Permanent atrial fibrillation	fibrillazione atriale permanente
HP:0004755	Supraventricular tachycardia	tachicardia sopraventricolare
HP:0004756	Ventricular tachycardia	tachicardia ventricolare
HP:0004757	Paroxysmal atrial fibrillation	fibrillazione atriale parossistica
HP:0004758	Effort-induced polymorphic ventricular tachycardias	tachicardie ventricolari polimorfiche indotta da sforzo
HP:0004759	Nodular calcific aortic valve disease	malattia della valvola aortica calcificante nodulare
HP:0004760	Congenital septal defect	difetto congenito del setto
HP:0004761	Post-angioplasty coronary artery restenosis	restenosi post-angioplastica coronarica
HP:0004762	Hypoplasia of right ventricle	ipoplasia del ventricolo destro
HP:0004763	Paroxysmal supraventricular tachycardia	tachicardia parossismale sopraventricolare
HP:0004764	Myxomatous mitral valve degeneration	degenerazione mixomatosa della valvola mitrale
HP:0004765	Episodic supraventricular tachycardia	tachicardia sopraventriculare episodica
HP:0004768	Sparse anterior scalp hair	capelli radi del cuoio capelluto anteriore
HP:0004771	Premature graying of body hair	ingrigimento prematuro del corpo dei capelli
HP:0004779	Brittle scalp hair	capelli fragili
HP:0004780	Elbow hypertrichosis	ipertricosi del gomito
HP:0004782	Hypotrichosis of the scalp	ipotricosi del cuoio capelluto
HP:0004783	Duodenal polyposis	poliposi duodenale
HP:0004784	Juvenile gastrointestinal polyposis	poliposi gastrointestinale giovanile
HP:0004785	Malrotation of colon	malrotazione del colon
HP:0004786	Jejunal diverticula	diverticoli scarsi
HP:0004787	Fulminant hepatitis	epatite fulminante
HP:0004788	Intestinal lymphedema	linfedema intestinale
HP:0004789	Lactose intolerance	intolleranza al lattosio
HP:0004790	Hypoplasia of the small intestine	ipoplasia dell'intestino tenue
HP:0004791	Esophageal ulceration	ulcerazione esofagea
HP:0004792	Rectoperineal fistula	fistola rettoperineale
HP:0004794	Malrotation of small bowel	malrotazione dell'intestino tenue
HP:0004795	Hamartomatous stomach polyps	polipi amartomatosi dello stomaco
HP:0004796	Gastrointestinal obstruction	ostruzione gastrointestinale
HP:0004797	Multiple small bowel atresias	atresie multiple delle piccole viscere
HP:0004798	Recurrent infection of the gastrointestinal tract	infezione ricorrente del tratto gastrointestinale
HP:0004799	Jejunoileal diverticula	diverticoli digiuno-ileali
HP:0004800	Duodenal diverticula	diverticoli duodenali
HP:0004802	Episodic hemolytic anemia	anemia emolitica episodica
HP:0004804	Congenital hemolytic anemia	anemia emolitica congenita
HP:0004808	Acute myeloid leukemia	leucemia mieloide acuta
HP:0004809	Neonatal alloimmune thrombocytopenia	trombocitopenia neonatale alloimmune
HP:0004810	Congenital hypoplastic anemia	anemia ipoplastica congenita
HP:0004812	Pre-B-cell acute lymphoblastic leukemia	leucemia linfoblastica acuta a cellule Pre-B
HP:0004813	Post-transfusion thrombocytopenia	trombocitopenia post-trasfusionale
HP:0004814	Fava bean-induced hemolytic anemia	anemia emolitica indotta da fave
HP:0004817	Drug-sensitive hemolytic anemia	anemia emolitica droga-sensibile
HP:0004818	Paroxysmal nocturnal hemoglobinuria	emoglobinuria parossistica notturna
HP:0004819	Normocytic hypoplastic anemia	anemia ipoplastica normocitica
HP:0004820	Acute myelomonocytic leukemia	leucemia acuta mielomonocitica
HP:0004821	Hypersegmentation of neutrophil nuclei	ipersegmentazione dei nuclei dei neutrofili
HP:0004822	Atypical elliptocytosis	ellissocitosi atipica
HP:0004823	Anisopoikilocytosis	anisopoichilocitosi
HP:0004825	Increased hemoglobin oxygen affinity	aumentata affinità dell'emoglobina all'ossigeno
HP:0004826	Folate-unresponsive megaloblastic anemia	anemia megaloblastica folato-insensibile
HP:0004828	Refractory anemia with ringed sideroblasts	anemia refrattaria con sideroblasti ad anello
HP:0004831	Recurrent thromboembolism	tromboembolia ricorrente
HP:0004835	Microspherocytosis	microsferocitosi
HP:0004836	Acute promyelocytic leukemia	leucemia promielocitica acuta
HP:0004839	Pyropoikilocytosis	piropoichilocitosi
HP:0004840	Hypochromic microcytic anemia	anemia microcitica ipocromica
HP:0004841	Reduced factor XII activity	ridotta attività del fattore XII
HP:0004843	Familial acute myelogenous leukemia	leucemia mielogeno acuta familiare
HP:0004844	Coombs-positive hemolytic anemia	anemia emolitica coombs-positiva
HP:0004845	Acute monocytic leukemia	leucemia monocitica acuta
HP:0004846	Prolonged bleeding after surgery	sanguinamento prolungato dopo chirurgia
HP:0004848	Ph-positive acute lymphoblastic leukemia	leucemia linfoblastica acuta Ph-positiva
HP:0004850	Recurrent deep vein thrombosis	trombosi venosa profonda ricorrente
HP:0004851	Folate-responsive megaloblastic anemia	anemia megaloblastica folato-responsiva
HP:0004852	Reduced leukocyte alkaline phosphatase	ridotta la fosfatasi alcalina leucocitaria
HP:0004854	Intermittent thrombocytopenia	trombocitopenia intermittente
HP:0004855	Reduced protein S activity	ridotta attività della proteina S
HP:0004856	Normochromic microcytic anemia	anemia microcitica normocromica
HP:0004857	Hyperchromic macrocytic anemia	anemia macrocitica ipercromico
HP:0004859	Amegakaryocytic thrombocytopenia	trombocitopenia amegacariocitica
HP:0004860	Thiamine-responsive megaloblastic anemia	anemia megaloblastica responsiva alla tiamina
HP:0004861	refractory macrocytic anemia	anemia macrocitica refrattaria
HP:0004863	Compensated hemolytic anemia	anemia emolitica compensata
HP:0004864	Refractory sideroblastic anemia	anemia sideroblastica refrattaria
HP:0004866	Impaired ADP-induced platelet aggregation	ridotta aggregazione piastrinica indotta da ADP
HP:0004870	Chronic hemolytic anemia	anemia emolitica cronica
HP:0004871	Perineal fistula	fistola perineale
